time.monotonic, time, accel_x, accel_y, accel_z, micro_temp
2.243, 3:41:21, -3.83072, -1.91536, 9.57681, 33.2242, 
3.46, 3:41:22, -1.91536, -15.3229, 3.83072, 35.0968, 
4.68, 3:41:23, -5.74608, -13.4075, 13.4075, 34.6286, 
5.901, 3:41:25, -15.3229, 5.74608, 15.3229, 35.0968, 
7.121, 3:41:26, -9.57681, 5.74608, 11.4922, 34.6286, 
8.341, 3:41:27, -5.74608, -3.83072, 11.4922, 35.0968, 
9.56, 3:41:28, -1.91536, -7.66145, 11.4922, 34.6286, 
10.777, 3:41:30, -1.91536, -1.91536, 1.91536, 35.0968, 
11.993, 3:41:31, -1.91536, -3.83072, 19.1536, 34.6286, 
13.217, 3:41:32, -1.91536, -15.3229, 1.91536, 34.1605, 
14.433, 3:41:33, -1.91536, -3.83072, 13.4075, 34.6286, 
15.653, 3:41:34, -1.91536, -19.1536, 0.0, 36.0331, 
16.875, 3:41:36, -7.66145, -17.2383, 19.1536, 34.6286, 
18.094, 3:41:37, -5.74608, -11.4922, 22.9843, 34.6286, 
19.314, 3:41:38, -1.91536, -5.74608, 19.1536, 35.0968, 
time.monotonic, time, accel_x, accel_y, accel_z, micro_temp
21.44, 3:41:40, 5.74608, -7.66145, 1.91536, 35.5649, 
22.664, 3:41:41, -1.91536, -3.83072, -1.91536, 33.6924, 
24.029, 3:41:43, -3.83072, -22.9843, 13.4075, 35.0968, 
25.246, 3:41:44, -3.83072, -9.57681, 26.8151, 34.1605, 
26.465, 3:41:45, 0.0, -13.4075, 7.66145, 34.6286, 
27.692, 3:41:46, -9.57681, -9.57681, 15.3229, 33.6924, 
28.916, 3:41:48, -1.91536, -1.91536, -5.74608, 34.1605, 
30.137, 3:41:49, -11.4922, -9.57681, 30.6458, 33.2242, 
31.358, 3:41:50, -3.83072, -3.83072, 3.83072, 35.0968, 
32.583, 3:41:51, -1.91536, -11.4922, 9.57681, 35.5649, 
33.806, 3:41:53, 7.66145, -22.9843, 1.91536, 35.0968, 
35.029, 3:41:54, 1.91536, -1.91536, 0.0, 34.1605, 
36.251, 3:41:55, -9.57681, -7.66145, 0.0, 35.0968, 
37.475, 3:41:56, -1.91536, -19.1536, 17.2383, 34.1605, 
38.692, 3:41:57, -1.91536, -24.8997, 7.66145, 34.6286, 
39.915, 3:41:59, -9.57681, -11.4922, 21.069, 32.7561, 
41.141, 3:42:0, -1.91536, -17.2383, 13.4075, 34.6286, 
42.364, 3:42:1, -1.91536, -9.57681, 7.66145, 34.6286, 
43.586, 3:42:2, -1.91536, -7.66145, 11.4922, 34.1605, 
44.813, 3:42:4, -9.57681, -9.57681, 15.3229, 33.6924, 
46.035, 3:42:5, -7.66145, -7.66145, 19.1536, 34.1605, 
47.394, 3:42:6, -13.4075, -3.83072, 19.1536, 34.6286, 
